--- SA2OPT algorithm results for the problem kroB100.tsp ---

Node_ID    X-coo        Y-coo
1         3140.000000   1401.000000
2         556.000000   1056.000000
3         3675.000000   1522.000000
4         1182.000000   1853.000000
5         3595.000000   111.000000
6         962.000000   1895.000000
7         2030.000000   1186.000000
8         3507.000000   1851.000000
9         2642.000000   1269.000000
10         3438.000000   901.000000
11         3858.000000   1472.000000
12         2937.000000   1568.000000
13         376.000000   1018.000000
14         839.000000   1355.000000
15         706.000000   1925.000000
16         749.000000   920.000000
17         298.000000   615.000000
18         694.000000   552.000000
19         387.000000   190.000000
20         2801.000000   695.000000
21         3133.000000   1143.000000
22         1517.000000   266.000000
23         1538.000000   224.000000
24         844.000000   520.000000
25         2639.000000   1239.000000
26         3123.000000   217.000000
27         2489.000000   1520.000000
28         3834.000000   1827.000000
29         3417.000000   1808.000000
30         2938.000000   543.000000
31         71.000000   1323.000000
32         3245.000000   1828.000000
33         731.000000   1741.000000
34         2312.000000   1270.000000
35         2426.000000   1851.000000
36         380.000000   478.000000
37         2310.000000   635.000000
38         2830.000000   775.000000
39         3829.000000   513.000000
40         3684.000000   445.000000
41         171.000000   514.000000
42         627.000000   1261.000000
43         1490.000000   1123.000000
44         61.000000   81.000000
45         422.000000   542.000000
46         2698.000000   1221.000000
47         2372.000000   127.000000
48         177.000000   1390.000000
49         3084.000000   748.000000
50         1213.000000   910.000000
51         3.000000   1817.000000
52         1782.000000   995.000000
53         3896.000000   742.000000
54         1829.000000   812.000000
55         1286.000000   550.000000
56         3017.000000   108.000000
57         2132.000000   1432.000000
58         2000.000000   1110.000000
59         3317.000000   1966.000000
60         1729.000000   1498.000000
61         2408.000000   1747.000000
62         3292.000000   152.000000
63         193.000000   1210.000000
64         782.000000   1462.000000
65         2503.000000   352.000000
66         1697.000000   1924.000000
67         3821.000000   147.000000
68         3370.000000   791.000000
69         3162.000000   367.000000
70         3938.000000   516.000000
71         2741.000000   1583.000000
72         2330.000000   741.000000
73         3918.000000   1088.000000
74         1794.000000   1589.000000
75         2929.000000   485.000000
76         3453.000000   1998.000000
77         896.000000   705.000000
78         399.000000   850.000000
79         2614.000000   195.000000
80         2800.000000   653.000000
81         2630.000000   20.000000
82         563.000000   1513.000000
83         1090.000000   1652.000000
84         2009.000000   1163.000000
85         3876.000000   1165.000000
86         3084.000000   774.000000
87         1526.000000   1612.000000
88         1612.000000   328.000000
89         1423.000000   1322.000000
90         3058.000000   1276.000000
91         3782.000000   1865.000000
92         347.000000   252.000000
93         3904.000000   1444.000000
94         2191.000000   1579.000000
95         3220.000000   1454.000000
96         468.000000   319.000000
97         3611.000000   1968.000000
98         3114.000000   1629.000000
99         3515.000000   1892.000000
100         3060.000000   155.000000

Size of tour: 100
MSTlen: 22991.568124

Number of unique elements: 100

---Final Tour---
1 90 46 25 9 34 57 7 84 58 52 54 72 37 65 47 88 23 22 55 50 14 64 42 2 16 77 24 18 45 36 96 92 19 44 41 17 78 13 63 31 48 51 82 33 15 6 4 83 89 43 60 87 66 74 94 35 61 27 71 12 98 32 59 76 29 8 99 97 91 28 3 11 93 85 73 53 70 39 40 67 5 62 69 26 100 56 81 79 75 30 80 20 38 49 86 68 10 21 95 1

Final Tour Length: 22991.568124

---Execution Time---
1.833973 seconds
