--- GPX algorithm results for the problem rat99.tsp ---

Node_ID    X-coo        Y-coo
1         6.000000   4.000000
2         15.000000   15.000000
3         24.000000   18.000000
4         33.000000   12.000000
5         48.000000   12.000000
6         57.000000   14.000000
7         67.000000   10.000000
8         77.000000   10.000000
9         86.000000   15.000000
10         6.000000   21.000000
11         17.000000   26.000000
12         23.000000   25.000000
13         32.000000   35.000000
14         43.000000   23.000000
15         55.000000   35.000000
16         65.000000   36.000000
17         78.000000   39.000000
18         87.000000   35.000000
19         3.000000   53.000000
20         12.000000   44.000000
21         28.000000   53.000000
22         33.000000   49.000000
23         47.000000   46.000000
24         55.000000   52.000000
25         64.000000   50.000000
26         71.000000   57.000000
27         87.000000   57.000000
28         4.000000   72.000000
29         15.000000   78.000000
30         22.000000   70.000000
31         34.000000   71.000000
32         42.000000   79.000000
33         54.000000   77.000000
34         66.000000   79.000000
35         78.000000   67.000000
36         87.000000   73.000000
37         7.000000   81.000000
38         17.000000   95.000000
39         26.000000   98.000000
40         32.000000   97.000000
41         43.000000   88.000000
42         57.000000   89.000000
43         64.000000   85.000000
44         78.000000   83.000000
45         83.000000   98.000000
46         5.000000   109.000000
47         13.000000   111.000000
48         25.000000   102.000000
49         38.000000   119.000000
50         46.000000   107.000000
51         58.000000   110.000000
52         67.000000   110.000000
53         74.000000   113.000000
54         88.000000   110.000000
55         2.000000   124.000000
56         17.000000   134.000000
57         23.000000   129.000000
58         36.000000   131.000000
59         42.000000   137.000000
60         53.000000   123.000000
61         63.000000   135.000000
62         72.000000   134.000000
63         87.000000   129.000000
64         2.000000   146.000000
65         16.000000   147.000000
66         25.000000   153.000000
67         38.000000   155.000000
68         42.000000   158.000000
69         57.000000   154.000000
70         66.000000   151.000000
71         73.000000   151.000000
72         86.000000   149.000000
73         5.000000   177.000000
74         13.000000   162.000000
75         25.000000   169.000000
76         35.000000   177.000000
77         46.000000   172.000000
78         54.000000   166.000000
79         65.000000   174.000000
80         73.000000   161.000000
81         86.000000   162.000000
82         2.000000   195.000000
83         14.000000   196.000000
84         28.000000   189.000000
85         38.000000   187.000000
86         46.000000   195.000000
87         57.000000   194.000000
88         63.000000   188.000000
89         77.000000   193.000000
90         85.000000   194.000000
91         8.000000   211.000000
92         12.000000   217.000000
93         22.000000   210.000000
94         34.000000   216.000000
95         47.000000   203.000000
96         58.000000   213.000000
97         66.000000   206.000000
98         78.000000   210.000000
99         85.000000   204.000000

Size of tour: 99
MSTlen: 2130.058840

Number of unique elements: 99

---Final Tour---
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 1

Final Tour Length: 2130.058840

---Execution Time---
0.000327 seconds
