--- LK algorithm results for the problem eil76.tsp ---

Node_ID    X-coo        Y-coo
1         22.000000   22.000000
2         36.000000   26.000000
3         21.000000   45.000000
4         45.000000   35.000000
5         55.000000   20.000000
6         33.000000   34.000000
7         50.000000   50.000000
8         55.000000   45.000000
9         26.000000   59.000000
10         40.000000   66.000000
11         55.000000   65.000000
12         35.000000   51.000000
13         62.000000   35.000000
14         62.000000   57.000000
15         62.000000   24.000000
16         21.000000   36.000000
17         33.000000   44.000000
18         9.000000   56.000000
19         62.000000   48.000000
20         66.000000   14.000000
21         44.000000   13.000000
22         26.000000   13.000000
23         11.000000   28.000000
24         7.000000   43.000000
25         17.000000   64.000000
26         41.000000   46.000000
27         55.000000   34.000000
28         35.000000   16.000000
29         52.000000   26.000000
30         43.000000   26.000000
31         31.000000   76.000000
32         22.000000   53.000000
33         26.000000   29.000000
34         50.000000   40.000000
35         55.000000   50.000000
36         54.000000   10.000000
37         60.000000   15.000000
38         47.000000   66.000000
39         30.000000   60.000000
40         30.000000   50.000000
41         12.000000   17.000000
42         15.000000   14.000000
43         16.000000   19.000000
44         21.000000   48.000000
45         50.000000   30.000000
46         51.000000   42.000000
47         50.000000   15.000000
48         48.000000   21.000000
49         12.000000   38.000000
50         15.000000   56.000000
51         29.000000   39.000000
52         54.000000   38.000000
53         55.000000   57.000000
54         67.000000   41.000000
55         10.000000   70.000000
56         6.000000   25.000000
57         65.000000   27.000000
58         40.000000   60.000000
59         70.000000   64.000000
60         64.000000   4.000000
61         36.000000   6.000000
62         30.000000   20.000000
63         20.000000   30.000000
64         15.000000   5.000000
65         50.000000   70.000000
66         57.000000   72.000000
67         45.000000   42.000000
68         38.000000   33.000000
69         50.000000   4.000000
70         66.000000   8.000000
71         59.000000   5.000000
72         35.000000   60.000000
73         27.000000   24.000000
74         40.000000   20.000000
75         40.000000   37.000000
76         40.000000   40.000000

Size of tour: 76
MSTlen: 2436.166123

Number of unique elements: 76

---Final Tour---
70 54 7 38 61 15 17 23 59 44 13 51 22 49 19 37 14 62 64 41 28 12 3 1 65 71 69 33 50 60 52 67 36 63 46 48 10 53 26 11 31 74 5 6 76 35 8 42 58 55 34 57 9 24 29 21 30 32 47 40 25 72 75 20 18 43 73 39 56 16 66 4 27 45 2 68 70

Final Tour Length: 2436.166123

---Execution Time---
0.000026 seconds
